province,district,division,location,sublocation,male,female,total,households,area_sqkm,density
WESTERN,BUNGOMA SOUTH,BUMULA,MUKWA,KISAWAYI,4221,4453,8674,1722,16.52,525.18
WESTERN,BUNGOMA SOUTH,BUMULA,MUKWA,MUKWA,2726,2897,5623,1133,10.68,526.45
WESTERN,BUNGOMA SOUTH,BUMULA,NAPARA,BITOBO,2787,2984,5771,1117,10.3,560.39
WESTERN,BUNGOMA SOUTH,BUMULA,NAPARA,KHASOLO,5105,5478,10583,2062,21.07,502.25
WESTERN,BUNGOMA SOUTH,BUMULA,SIBOTI,EAST SIBOTI,4224,4506,8730,1684,15.64,558.2
WESTERN,BUNGOMA SOUTH,BUMULA,SIBOTI,MUSAKASA,4563,4917,9480,1887,17.27,548.79
WESTERN,BUNGOMA SOUTH,BUMULA,SOUTH BUKUSU,LUMBOKA,5592,6080,11672,2208,24.35,479.33
WESTERN,BUNGOMA SOUTH,BUMULA,SOUTH BUKUSU,MATEKA,1451,1560,3011,591,5.29,568.74
WESTERN,BUNGOMA SOUTH,BUMULA,SOUTH BUKUSU,MUANDA,4079,4373,8452,1646,18.69,452.23
WESTERN,BUNGOMA SOUTH,KANDUYI,BUKEMBE,KONGOLI,6210,6209,12419,2645,29.79,416.9
WESTERN,BUNGOMA SOUTH,KANDUYI,BUKEMBE,NAMIREMBE,4668,4869,9537,1783,17.86,534.09
WESTERN,BUNGOMA SOUTH,KANDUYI,BUKEMBE,NDENGELWA,5315,5459,10774,2050,17.78,606
WESTERN,BUNGOMA SOUTH,KANDUYI,BUKEMBE,NORTH SANGALO,7040,7290,14330,2926,21.65,661.91
WESTERN,BUNGOMA SOUTH,KANDUYI,EAST BUKUSU,EAST SANGALO,7527,7907,15434,2925,32.5,474.88
WESTERN,BUNGOMA SOUTH,KANDUYI,EAST BUKUSU,MWIKHUPO,8106,8748,16854,3197,33.38,504.85
WESTERN,BUNGOMA SOUTH,KANDUYI,EAST BUKUSU,NAMWACHA,6930,7371,14301,2698,25.81,554.06
WESTERN,BUNGOMA SOUTH,KANDUYI,EAST BUKUSU,WEST SANGALO,9153,9669,18822,3624,33.42,563.14
WESTERN,BUNGOMA SOUTH,KANDUYI,KIBABII,MARAKARU,9231,10165,19396,3871,26.23,739.5
WESTERN,BUNGOMA SOUTH,KANDUYI,KIBABII,TUUTI,7978,8407,16385,3166,22.27,735.7
WESTERN,BUNGOMA SOUTH,KANDUYI,MUSIKOMA,NAMASANDA,6217,6465,12682,2447,23.58,537.88
WESTERN,BUNGOMA SOUTH,KANDUYI,MUSIKOMA,SOUTH KANDUYI,12507,12744,25251,5997,20.37,1239.77
WESTERN,BUNGOMA SOUTH,KANDUYI,TOWNSHIP,KHALABA,11657,12842,24499,6363,8.8,2783.53
WESTERN,BUNGOMA SOUTH,KANDUYI,TOWNSHIP,TOWNSHIP,9946,9071,19017,4669,5.09,3739.09
WESTERN,BUNGOMA WEST,CHWELE,CHWELE,CHWELE,8897,9808,18705,4198,17.9,1044.73
WESTERN,BUNGOMA WEST,CHWELE,CHWELE,SICHEI,4782,5036,9818,1913,15.46,634.97
