ward_code,ward_name
1303,BOMORENDA
1304,RIANA
1305,TABAKA
1306,BOIKANG'A
1307,BOGETENGA
1308,BORABU / CHITAGO
1309,MOTICHO
1310,GETENGA
1311,BOMBABA BORABU
1312,BOOCHI BORABU
1313,BOKIMONGE
1314,MAGENCHE
1315,MASIGE WEST
1316,MASIGE EAST
1317,BASI CENTRAL
1318,NYACHEKI
1319,BASI BOGETAORIO
1320,BOBASI CHACHE
1321,SAMETA/MOKWERERO
1322,BOBASI BOITANGARE
1323,MAJOGE BASI
1324,BOOCHI/TENDERE
1325,BOSOTI/SENGERA
1326,ICHUNI
1327,NYAMASIBI
1328,MASIMBA
1329,GESUSU
1330,KIAMOKAMA
1331,BOBARACHO
1332,KISII CENTRAL
1333,KEUMBU
1334,KIOGORO
1335,BIRONGO
1336,IBENO
1337,MONYERERO
1338,SENSI
1339,MARANI
1340,KEGOGI
1341,BOGUSERO
1342,BOGEKA
1343,NYAKOE
1344,KITUTU CENTRAL
1345,NYATIEKO
1346,RIGOMA
1347,GACHUBA
1348,KEMERA
1349,MAGOMBO
1350,MANGA
1351,GESIMA
1352,NYAMAIYA
1353,BOGICHORA
1354,BOSAMARO
1355,BONYAMATUTA
1356,TOWNSHIP
1357,ITIBO
1358,BOMWAGAMO
1359,BOKEIRA
1360,MAGWAGWA
1361,EKERENYO
1362,MEKENENE
1363,KIABONYORU
1364,NYANSIONGO
1365,ESISE
1366,KITISURU
1367,PARKLANDS/HIGHRIDGE
1368,KARURA
1369,KANGEMI
1370,MOUNTAIN VIEW
1371,KILIMANI
1372,KAWANGWARE
1373,GATINA
1374,KILELESHWA
1375,KABIRO
1376,MUTU-INI
1377,NGANDO
1378,RIRUTA
1379,UTHIRU/RUTHIMITU
1380,WAITHAKA
1381,KAREN
1382,NAIROBI WEST
1383,MUGUMU-INI
1384,SOUTH C
1385,NYAYO HIGHRISE
1386,LAINI SABA
1387,LINDI
1388,MAKINA
1389,WOODLEY/KENYATTA GOLF COURSE
1390,SARANGOMBE
1391,GITHURAI
1392,KAHAWA WEST
1393,ZIMMERMAN
1394,ROYSAMBU
1395,KAHAWA
1396,CLAY CITY
1397,MWIKI
1398,KASARANI
1399,NJIRU
1400,RUAI
1401,BABA DOGO
1402,UTALII
1403,MATHARE NORTH
1404,LUCKY SUMMER
1405,KOROGOCHO
1406,IMARA DAIMA
1407,KWA NJENGA
1408,KWA REUBEN
1409,PIPELINE
1410,KWARE
1411,KARIOBANGI NORTH
1412,DANDORA AREA I
1413,DANDORA AREA II
1414,DANDORA AREA III
1415,DANDORA AREA IV
1416,KAYOLE NORTH
1417,KAYOLE CENTRAL
1418,KAYOLE SOUTH
1419,KOMAROCK
1420,MATOPENI/SPRING VALLEY
1421,UPPER SAVANNAH
1422,LOWER SAVANNAH
1423,EMBAKASI
1424,UTAWALA
1425,MIHANGO
1426,UMOJA I
1427,UMOJA II
1428,MOWLEM
1429,KARIOBANGI SOUTH
1430,MARINGO/HAMZA
1431,VIWANDANI
1432,HARAMBEE
1433,MAKONGENI
1434,PUMWANI
1435,EASTLEIGH NORTH
1436,EASTLEIGH SOUTH
1437,AIRBASE
1438,CALIFORNIA
1439,NAIROBI CENTRAL
1440,NGARA
1441,PANGANI
1442,ZIWANI/KARIOKOR
1443,LANDIMAWE
1444,NAIROBI SOUTH
1445,HOSPITAL
1446,MABATINI
1447,HURUMA
1449,MLANGO KUBWA
1450,KIAMAIKO
