ward_code,ward_name
327,KIAMBERE
328,NTHAWA
329,MUMINJI
330,EVURORE
331,NGOMENI
332,KYUSO
333,MUMONI
334,TSEIKURU
335,THARAKA
336,KYOME/THAANA
337,NGUUTANI
338,MIGWANI
339,KIOMO/KYETHANI
340,CENTRAL
341,KIVOU
342,NGUNI
343,NUU
344,MUI
345,WAITA
346,MUTONGUNI
347,KAUWI
348,MATINYANI
349,KWA MUTONGA/KITHUMULA
350,KISASI
351,MBITINI
352,KWAVONZA/YATTA
353,KANYANGI
354,MIAMBANI
355,TOWNSHIP
356,KYANGWITHYA WEST
357,MULANGO
358,KYANGWITHYA EAST
359,ZOMBE/MWITIKA
360,NZAMBANI
361,CHULUNI
362,VOO/KYAMATU
363,ENDAU/MALALANI
364,MUTITO/KALIKU
365,IKANGA/KYATUNE
366,MUTOMO
367,MUTHA
368,IKUTHA
369,KANZIKO
370,ATHI
371,KIVAA
372,MASINGA CENTRAL
373,EKALAKALA
374,MUTHESYA
375,NDITHINI
376,NDALANI
377,MATUU
378,KITHIMANI
379,IKOMBE
380,KATANGI
381,KANGUNDO NORTH
382,KANGUNDO CENTRAL
383,KANGUNDO EAST
384,KANGUNDO WEST
385,TALA
386,MATUNGULU NORTH
387,MATUNGULU EAST
388,MATUNGULU WEST
389,KYELENI
390,MITABONI
391,KATHIANI CENTRAL
392,UPPER KAEWA/IVETI
393,LOWER KAEWA/KAANI
394,ATHI RIVER
395,KINANIE
396,MUTHWANI
397,SYOKIMAU/MULOLONGO
398,KALAMA
399,MUA
400,MUTITUNI
401,MACHAKOS CENTRAL
402,MUMBUNI NORTH
403,MUVUTI/KIIMA-KIMWE
404,KOLA
405,MBIUNI
406,MAKUTANO/ MWALA
407,MASII
408,MUTHETHENI
409,WAMUNYU
410,KIBAUNI
411,TULIMANI
412,MBOONI
413,KITHUNGO/KITUNDU
414,KITETA/KISAU
415,WAIA-KAKO
416,KALAWA
417,KASIKEU
418,MUKAA
419,KIIMA KIU/KALANZONI
420,UKIA
421,KEE
422,KILUNGU
423,ILIMA
424,WOTE
425,MUVAU/KIKUUMINI
426,MAVINDINI
427,KITISE/KITHUKI
428,KATHONZWENI
429,NZAUI/KILILI/KALAMBA
430,MBITINI
431,MAKINDU
432,NGUUMO
433,KIKUMBULYU NORTH
434,KIKUMBULYU SOUTH
435,NGUU/MASUMBA
436,EMALI/MULALA
437,MASONGALENI
438,MTITO ANDEI
439,THANGE
440,IVINGONI/NZAMBANI
441,ENGINEER
442,GATHARA
443,NORTH KINANGOP
444,MURUNGARU
445,NJABINI\KIBURU
446,NYAKIO
447,GITHABAI
448,MAGUMU
449,WANJOHI
450,KIPIPIRI
451,GETA
452,GITHIORO
453,KARAU
454,KANJUIRI RANGE
455,MIRANGINE
456,KAIMBAGA
457,RURII
458,GATHANJI
459,GATIMU
460,WERU
461,CHARAGITA
462,LESHAU/PONDO
463,KIRIITA
464,CENTRAL
465,SHAMATA
466,DEDAN KIMANTHI
467,WAMAGANA
468,AGUTHI-GAAKI
469,MWEIGA
470,NAROMORU KIAMATHAGA
471,MWIYOGO/ENDARASHA
472,MUGUNDA
473,GATARAKWA
474,THEGU RIVER
475,KABARU
476,GAKAWA
477,RUGURU
478,MAGUTU
479,IRIAINI
480,KONYU
481,KIRIMUKUYU
482,KARATINA TOWN
483,MAHIGA
484,IRIA-INI
485,CHINGA
486,KARIMA
487,GIKONDI
488,RUGI
489,MUKURWE-INI WEST
490,MUKURWE-INI CENTRAL
491,KIGANJO/MATHARI
492,RWARE
493,GATITU/MURUGURU
494,RURING'U
495,KAMAKWA/MUKARO
496,MUTITHI
497,KANGAI
498,THIBA
499,WAMUMU
500,NYANGATI
501,MURINDUKO
502,GATHIGIRIRI
503,TEBERE
504,KABARE
505,BARAGWI
506,NJUKIINI
507,NGARIAMA
508,KARUMANDI
509,MUKURE
510,KIINE
511,KARITI
512,MUTIRA
513,KANYEKINI
514,KERUGOYA
515,INOI
516,KANYENYA-INI
517,MUGURU
518,RWATHIA
519,GITUGI
520,KIRU
521,KAMACHARIA
522,WANGU
523,MUGOIRI
524,MBIRI
525,TOWNSHIP
526,MURARANDIA
527,GATURI
528,KAHUMBU
529,MUTHITHI
530,KIGUMO
531,KANGARI
532,KINYONA
533,KIMORORI/WEMPA
534,MAKUYU
535,KAMBITI
536,KAMAHUHA
537,ICHAGAKI
538,NGINDA
539,NG'ARARIA
540,MURUKA
541,KAGUNDU-INI
542,GAICHANJIRU
543,ITHIRU
544,RUCHU
545,ITHANGA
546,KAKUZI/MITUBIRI
547,MUGUMO-INI
548,KIHUMBU-INI
549,GATANGA
550,KARIARA
551,KIAMWANGI
552,KIGANJO
553,NDARUGU
554,NGENDA
555,GITUAMBA
556,GITHOBOKONI
557,CHANIA
558,MANG'U
559,MURERA
560,THETA
561,JUJA
562,WITEITHIE
563,KALIMONI
564,TOWNSHIP
565,KAMENU
566,HOSPITAL
567,GATUANYAGA
568,NGOLIBA
569,GITOTHUA
570,BIASHARA
574,KIUU
577,GITHUNGURI
578,GITHIGA
579,IKINU
580,NGEWA
581,KOMOTHAI
582,TING'ANG'A
583,NDUMBERI
584,RIABAI
585,TOWNSHIP
586,CIANDA
587,KARURI
588,NDENDERU
589,MUCHATHA
590,KIHARA
591,GITARU
592,MUGUGA
593,NYADHUNA
594,KABETE
595,UTHIRU
596,KARAI
597,NACHU
598,SIGONA
599,KIKUYU
600,KINOO
601,BIBIRIONI
602,LIMURU CENTRAL
603,NDEIYA
604,LIMURU EAST
605,NGECHA TIGONI
606,KINALE
607,KIJABE
608,NYANDUMA
609,KAMBURU
610,LARI/KIRENGA
611,KAERIS
612,LAKE ZONE
613,LAPUR
614,KAALENG/KAIKOR
615,KIBISH
616,NAKALALE
617,KAKUMA
618,LOPUR
619,LETEA
620,SONGOT
621,KALOBEYEI
622,LOKICHOGGIO
623,NANAAM
624,KERIO DELTA
625,KANG'ATOTHA
626,KALOKOL
627,LODWAR TOWNSHIP
628,KANAMKEMER
629,KOTARUK/LOBEI
630,TURKWEL
631,LOIMA
632,LOKIRIAMA/LORENGIPPI
633,KAPUTIR
634,KATILU
635,LOBOKAT
636,KALAPATA
637,LOKICHAR
638,KAPEDO/NAPEITOM
639,KATILIA
641,LOKORI/KOCHODIN
642,KAPENGURIA
643,MNAGEI
644,SIYOI
645,ENDUGH
646,SOOK
647,SEKERR
648,MASOOL
649,LOMUT
650,WEIWEI
651,SUAM
652,KODICH
653,KASEI
654,KAPCHOK
655,KIWAWA
656,ALALE
657,CHEPARERIA
658,BATEI
659,LELAN
660,TAPACH
661,LODOKEJEK
662,SUGUTA MARMAR
663,MARALAL
664,LOOSUK
665,PORO
666,EL-BARTA
667,NACHOLA
668,NDOTO
669,NYIRO
670,ANGATA NANYOKIE
671,BAAWA
672,WASO
673,WAMBA WEST
674,WAMBA EAST
675,WAMBA NORTH
677,KAPOMBOI
678,KEIYO
679,BIDII
680,CHEPCHOINA
681,ENDEBESS
682,MATUMBEI
683,KINYORO
684,MATISI
685,TUWANI
686,SABOTI
687,MACHEWA
688,KIMININI
689,WAITALUK
690,SIRENDE
691,HOSPITAL
692,SIKHENDU
693,NABISWA
694,SINYERERE
695,MAKUTANO
696,KAPLAMAI
697,MOTOSIET
698,CHERANGANY/SUWERWA
699,CHEPSIRO/KIPTOROR
700,SITATUNGA
701,MOI'S BRIDGE
702,KAPKURES
703,ZIWA
704,SEGERO/BARSOMBE
705,KIPSOMBA
706,SOY
707,KUINET/KAPSUSWA
708,NGENYILEL
709,TAPSAGOI
710,KAMAGUT
711,KIPLOMBE
712,KAPSAOS
713,HURUMA
714,TEMBELIO
715,SERGOIT
716,KARUNA/MEIBEKI
717,MOIBEN
718,KIMUMU
719,KAPSOYA
720,KAPTAGAT
721,AINABKOI/OLARE
722,SIMAT/KAPSERET
723,KIPKENYO
724,NGERIA
725,MEGUN
726,LANGAS
727,RACECOURSE
728,CHEPTIRET/KIPCHAMO
729,TULWET/CHUIYAT
730,TARAKWA
731,KAPYEGO
732,SAMBIRIR
733,ENDO
736,SENGWER
737,CHERANG'ANY/CHEBORORWA
738,MOIBEN/KUSERWO
739,KAPSOWAR
740,ARROR
741,EMSOO
742,KAMARINY
743,KAPCHEMUTWA
744,TAMBACH
745,KAPTARAKWA
746,CHEPKORIO
747,SOY NORTH
748,SOY SOUTH
749,KABIEMIT
750,METKEI
751,SONGHOR/SOBA
752,TINDIRET
753,CHEMELIL/CHEMASE
754,KAPSIMOTWO
755,KABWARENG
756,TERIK
757,KEMELOI-MARABA
758,KOBUJOI
759,KAPTUMO-KABOI
760,KOYO-NDURIO
761,NANDI HILLS
762,CHEPKUNYUK
763,OL'LESSOS
764,KAPCHORUA
765,CHEMUNDU/KAPNG'ETUNY
766,KOSIRAI
767,LELMOKWO/NGECHEK
768,KAPTEL/KAMOIYWO
769,KIPTUYA
770,CHEPKUMIA
771,KAPKANGANI
772,KAPSABET
773,KILIBWONI
774,CHEPTERWAI
775,KIPKAREN
776,KURGUNG/SURUNGAI
777,KABIYET
778,NDALAT
779,KABISAGA
780,SANGALO/KEBULONIK
781,TIRIOKO
782,KOLOWA
783,RIBKWO
784,SILALE
785,LOIYAMOROCK
786,TANGULBEI/KOROSSI
787,CHURO/AMAYA
788,BARWESSA
789,KABARTONJO
790,SAIMO/KIPSARAMAN
791,SAIMO/SOI
792,BARTABWA
793,KABARNET
794,SACHO
795,TENGES
796,EWALEL/CHAPCHAP
797,KAPROPITA
798,MARIGAT
799,ILCHAMUS
800,MOCHONGOI
801,MUKUTANI
802,MOGOTIO
803,EMINING
804,KISANANA
805,LEMBUS
806,LEMBUS KWEN
807,RAVINE
808,MUMBERES/MAJI MAZURI
809,LEMBUS/PERKERRA
810,KOIBATEK
811,OL-MORAN
812,RUMURUTI TOWNSHIP
813,GITHIGA
814,MARMANET
815,IGWAMITI
816,SALAMA
817,NGOBIT
818,TIGITHI
819,THINGITHU
820,NANYUKI
821,UMANDE
822,SOSIAN
823,SEGERA
824,MUGOGODO WEST
825,MUGOGODO EAST
826,MARIASHONI
827,ELBURGON
828,TURI
829,MOLO
830,MAU NAROK
831,MAUCHE
832,KIHINGO
833,NESSUIT
834,LARE
835,NJORO
836,BIASHARA
837,HELLS GATE
838,LAKE VIEW
839,MAI MAHIU
840,MAIELLA
841,OLKARIA
842,NAIVASHA EAST
843,VIWANDANI
844,GILGIL
845,ELEMENTAITA
846,MBARUK/EBURU
847,MALEWA WEST
848,MURINDATI
849,AMALO
850,KERINGET
851,KIPTAGICH
852,TINET
853,KIPTORORO
854,NYOTA
855,SIRIKWA
856,KAMARA
857,SUBUKIA
858,WASEGES
859,KABAZI
860,MENENGAI WEST
861,SOIN
862,VISOI
863,MOSOP
864,SOLAI
865,DUNDORI
866,KABATINI
867,KIAMAINA
868,LANET/UMOJA
869,BAHATI
870,BARUT
871,LONDON
872,KAPTEMBWO
873,KAPKURES
874,RHODA
875,SHAABAB
876,BIASHARA
877,KIVUMBINI
878,FLAMINGO
879,MENENGAI
880,NAKURU EAST
881,KILGORIS CENTRAL
882,KEYIAN
883,ANGATA BARIKOI
884,SHANKOE
885,KIMINTET
886,LOLGORIAN
887,ILKERIN
888,OLOlMASANI
889,MOGONDO
890,KAPSASIAN
891,OLPUSIMORU
892,OLOKURTO
893,NAROK TOWN
894,NKARETA
895,OLORROPIL
896,MELILI
897,MOSIRO
898,ILDAMAT
899,KEEKONYOKIE
900,SUSWA
901,MAJIMOTO/NAROOSURA
902,OLOLULUNG'A
903,MELELO
904,LOITA
905,SOGOO
906,SAGAMIAN
907,ILMOTIOK
908,MARA
909,SIANA
910,NAIKARRA
911,OLKERI
912,ONGATA RONGAI
913,NKAIMURUNYA
914,OLOOLUA
915,NGONG
916,PURKO
917,ILDAMAT
918,DALALEKUTUK
919,MATAPATO NORTH
920,MATAPATO SOUTH
921,KAPUTIEI NORTH
922,KITENGELA
923,OLOOSIRKON/SHOLINKE
924,KENYAWA-POKA
925,IMARORO
926,KEEKONYOKIE
927,ILOODOKILANI
928,MAGADI
929,EWUASO OoNKIDONG'I
930,MOSIRO
931,ENTONET/LENKISIM
932,MBIRIKANI/ESELENKEI
933,KUKU
934,ROMBO
935,KIMANA
936,LONDIANI
937,KEDOWA/KIMUGUL
938,CHEPSEON
939,TENDENO/SORGET
940,KUNYAK
941,KAMASIAN
942,KIPKELION
943,CHILCHILA
944,KAPSOIT
945,AINAMOI
946,KAPKUGERWET
947,KIPCHEBOR
948,KIPCHIMCHIM
949,KAPSAOS
950,KISIARA
951,TEBESONIK
952,CHEBOIN
953,CHEMOSOT
954,LITEIN
955,CHEPLANGET
956,KAPKATET
957,WALDAI
958,KABIANGA
959,CHEPTORORIET/SERETUT
960,CHAIK
961,KAPSUSER
962,SIGOWET
963,KAPLELARTET
964,SOLIAT
965,SOIN
966,NDANAI/ABOSI
967,CHEMAGEL
968,KIPSONOI
969,KAPLETUNDO
970,RONGENA/MANARET
971,KONG'ASIS
972,NYANGORES
973,SIGOR
974,CHEBUNYO
975,SIONGIROI
976,MERIGI
977,KEMBU
978,LONGISA
979,KIPRERES
