code,name,slug,capital,iso_code,pcode,former_province,former_province_code,economic_blocs,asal,city_status_since,constituencies,wards,area_km2,population_2009,population_2019,centroid_lat,centroid_lng,bbox_min_lng,bbox_min_lat,bbox_max_lng,bbox_max_lat,aliases
30,Baringo,baringo,Kabarnet,KE-01,KE030,Rift Valley,RFT,NOREB,arid,,6,30,11075.3,555561,666763,0.726352,36.018591,35.523,-0.203,36.49,1.656,
31,Laikipia,laikipia,Rumuruti,KE-20,KE031,Rift Valley,RFT,MKAREB,semi-arid,,3,15,8696.1,399227,518560,0.289134,36.825248,36.226,-0.293,37.394,0.871,
32,Nakuru,nakuru,Nakuru,KE-31,KE032,Rift Valley,RFT,MKAREB,,2021,11,55,7509.5,1603325,2162202,-0.458448,36.100384,35.414,-1.153,36.6,0.236,
33,Narok,narok,Narok,KE-33,KE033,Rift Valley,RFT,,semi-arid,,6,30,17921.2,850920,1157873,-1.279878,35.476358,34.59,-2.105,36.348,-0.455,
34,Kajiado,kajiado,Kajiado,KE-10,KE034,Rift Valley,RFT,NAMETRO,semi-arid,,5,25,21292.7,687312,1117840,-2.112369,36.777606,36,-3.183,37.936,-1.037,
35,Kericho,kericho,Kericho,KE-12,KE035,Rift Valley,RFT,LREB,,,6,30,2454.5,752396,901777,-0.316683,35.225997,35.005,-0.656,35.67,0.028,
36,Bomet,bomet,Bomet,KE-02,KE036,Rift Valley,RFT,LREB,,,5,25,1997.9,730129,875689,-0.716095,35.238459,35.013,-1.035,35.587,-0.399,
37,Kakamega,kakamega,Kakamega,KE-11,KE037,Western,WST,LREB,,,12,60,3033.8,1660651,1867579,0.49719,34.800929,34.344,0.091,35.155,0.9,
38,Vihiga,vihiga,Mbale,KE-45,KE038,Western,WST,LREB,,,5,25,531.3,554622,590013,0.084857,34.707784,34.533,-0.038,34.926,0.206,
39,Bungoma,bungoma,Bungoma,KE-03,KE039,Western,WST,LREB,,,9,45,2206.9,1375063,1670570,0.785694,34.718757,34.362,0.421,35.068,1.15,
40,Busia,busia,Busia,KE-04,KE040,Western,WST,LREB,,,7,35,1628.4,743946,893681,0.375707,34.265111,33.91,-0.028,34.435,0.777,
41,Siaya,siaya,Siaya,KE-38,KE041,Nyanza,NYZ,LREB,,,6,30,2496.1,842304,993183,-0.057674,34.199887,33.948,-0.428,34.56,0.308,
42,Kisumu,kisumu,Kisumu,KE-17,KE042,Nyanza,NYZ,LREB,,2001,7,35,2009.5,968909,1155574,-0.19438,34.777329,34.415,-0.413,35.343,0.026,
43,Homa Bay,homa-bay,Homa Bay,KE-08,KE043,Nyanza,NYZ,LREB,,,8,40,3154.7,963794,1131950,-0.562403,34.314532,33.917,-0.865,35.02,-0.257,
44,Migori,migori,Migori,KE-27,KE044,Nyanza,NYZ,LREB,,,8,40,2586.4,917170,1116436,-1.018704,34.309173,33.926,-1.387,34.731,-0.65,
45,Kisii,kisii,Kisii,KE-16,KE045,Nyanza,NYZ,LREB,,,9,45,1317.9,1152282,1266860,-0.736677,34.75351,34.61,-0.971,35.013,-0.502,
46,Nyamira,nyamira,Nyamira,KE-34,KE046,Nyanza,NYZ,LREB,,,4,20,912.5,598252,605576,-0.649378,34.933398,34.779,-0.888,35.091,-0.41,
47,Nairobi,nairobi,Nairobi,KE-30,KE047,Nairobi,NBI,NAMETRO,,1963,17,85,694.9,3138369,4397073,-1.300489,36.827926,36.663,-1.442,37.104,-1.158,Nairobi City
