code,name,slug,location_code,location_name,division_code,district_code,former_province_code,population_2009,population_male,population_female,households,area_km2,density_per_km2
5899,Soit Naibor,soit-naibor,2284,Barsaloi,531,126,RFT,989,468,521,208,76.74,12.89
5900,Loosuk,loosuk,2285,Loosuk,531,126,RFT,2756,1368,1388,579,120.24,22.92
5901,Malaso,malaso,2285,Loosuk,531,126,RFT,2214,1122,1092,412,46.97,47.13
5902,Purra,purra,2285,Loosuk,531,126,RFT,472,270,202,86,136.04,3.47
5903,Tinga,tinga,2285,Loosuk,531,126,RFT,4798,2378,2420,954,187.54,25.58
5904,Ledero,ledero,2286,Maralal Town,531,126,RFT,1822,828,994,406,26.63,68.43
5905,Lkuroto,lkuroto,2286,Maralal Town,531,126,RFT,3407,1707,1700,695,21.89,155.67
5906,Lpartuk,lpartuk,2286,Maralal Town,531,126,RFT,3452,1667,1785,674,22.9,150.72
5907,Maralal Town,maralal-town,2286,Maralal Town,531,126,RFT,12431,6175,6256,3311,17.52,709.52
5908,Milimani,milimani,2286,Maralal Town,531,126,RFT,4468,2211,2257,979,28.58,156.34
5909,Ngari,ngari,2286,Maralal Town,531,126,RFT,5027,2526,2501,1036,25.52,197
5910,Shabaa,shabaa,2286,Maralal Town,531,126,RFT,6148,2973,3175,1279,78.59,78.23
5911,Lbukoi,lbukoi,2287,Opiroi,531,126,RFT,1112,555,557,287,170.28,6.53
5912,Loroklol Mongo,loroklol-mongo,2287,Opiroi,531,126,RFT,1507,753,754,328,89.31,16.87
5913,Mabati,mabati,2287,Opiroi,531,126,RFT,1042,478,564,231,111.78,9.32
5914,Moru,moru,2287,Opiroi,531,126,RFT,1501,680,821,384,222.19,6.76
5915,Opiroi,opiroi,2287,Opiroi,531,126,RFT,3115,1513,1602,704,185.54,16.79
5916,Elporowuai / Malaso,elporowuai-malaso,2288,Poro,531,126,RFT,1165,581,584,238,54.25,21.48
5917,Mugur,mugur,2288,Poro,531,126,RFT,990,501,489,198,36.91,26.82
5918,Seketet,seketet,2288,Poro,531,126,RFT,2560,1285,1275,460,63.72,40.18
5919,Siambu,siambu,2288,Poro,531,126,RFT,745,381,364,128,270.65,2.75
5920,Lemisigiyoi,lemisigiyoi,2289,Sirata Oiroboi,531,126,RFT,1222,605,617,232,13.13,93.1
5921,Ngejemuny,ngejemuny,2289,Sirata Oiroboi,531,126,RFT,924,421,503,197,19.62,47.09
5922,Sirata Oiroboi,sirata-oiroboi,2289,Sirata Oiroboi,531,126,RFT,1346,653,693,269,18.69,72.01
5923,Amaiya,amaiya,2290,Amaiya,532,126,RFT,413,203,210,65,46.67,8.85
5924,Longewan,longewan,2290,Amaiya,532,126,RFT,1479,909,570,264,95.26,15.53
5925,Nasur,nasur,2290,Amaiya,532,126,RFT,324,162,162,63,54.32,5.97
5926,Baawa,baawa,2291,Baawa,532,126,RFT,1799,827,972,364,133.42,13.48
5927,Lkiloriti,lkiloriti,2291,Baawa,532,126,RFT,2103,986,1117,422,69.69,30.18
5928,Nauneri,nauneri,2291,Baawa,532,126,RFT,1626,740,886,370,82.55,19.7
5929,Garma,garma,2292,Kirimon,532,126,RFT,987,400,587,247,32.6,30.28
5930,Kirimon,kirimon,2292,Kirimon,532,126,RFT,1293,614,679,303,48.52,26.65
5931,Mugur,mugur,2292,Kirimon,532,126,RFT,1400,627,773,364,86.7,16.15
5932,Langatolia,langatolia,2293,Kisima,532,126,RFT,1729,765,964,410,31.54,54.82
5933,Lmisigiyoi,lmisigiyoi,2293,Kisima,532,126,RFT,1014,411,603,244,44.07,23.01
5934,Mbarigon,mbarigon,2293,Kisima,532,126,RFT,1810,821,989,373,31.21,57.99
5935,Lodokejek,lodokejek,2294,Lodokejek,532,126,RFT,3684,1749,1935,785,120.31,30.62
5936,Nonkeek,nonkeek,2294,Lodokejek,532,126,RFT,1731,773,958,409,159.7,10.84
5937,Logorate,logorate,2295,Suguta Maramar,532,126,RFT,1758,893,865,356,73.4,23.95
